No.,Tag,Namecode,Tree,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
33,2178,WILKHUEG,5,0,0,0,0,0,0,0,0,0,0,0,0
34,2160?,ACROPUBE,,2imfb,2imfb,2imfb,1imfb,2fb,2fb,"2fb,1fl","3fb,1fl",0,0,1imft,0
35,2175,WILKAUST,2,0,0,0,0,0,0,0,0,0,0,0,0
36,1580,EMMEALPH,,,,,,2ft,0,0,?imfb,?imfb,3imfb,3fb/fl?,3imft
37,972,ELATNERV,2,0,0,0,0,0,0,0,0,0,0,0,0
38,1546,ARGYACAC,3,0,0?,"3fb,fl","3fl,fb","1fl,2imft",0,0,0,0,1imft,0,0
39,1545,ORITEXCE,,0,0,0,0,0,0,0,0,0,0,0,0
40,962,EMMEALPH,2,0,0?,0,0,0,0,0,0,0,0,0,0
41,5219.1,PHALCHER,,0,0,0,0,0,0,0,0,1imfb,0,0,0
42,1020,ACMEINGE,1,0,0,0,0,0,0,0,0,0,0?,0?,2/3imft
43,1018,DYSOFRAS,1,5ft+,5ft+,5ft+,2ft,0,0,0,0,0,0,0,0
44,1019,EUPOLAUR,1,0,0,1fb,2fb,2imft,1ft,0,0,0,0,0,0
45,1548,ACMEINGE,2,0,0,0,0,0,0,0,0,0,0,0,0
46,1550,ELATNERV,3,0,0,0,0,2imft,0,0,0,0,0,0,0
47,1017,MELIMICR,1,3fl?,3imft,3imft,2ft,0,0,0,0,0,0,0,5fb
48,,GUILMONO,,,,,,,,0,0,0,0,3imfb,"4fl,fb"
49,1067,ARGYTRIF,1,0,0,5imfb,5imfb,"5fb,5fl",5fl,2imft?,1imft?,0,2imft,2ft,0
50,1004,POLYELEG,1,3imfb,4fl,4fl/imft,4ft,2ft,1ft,0,0,0,0,0,0
51,1065,POLYELEG,2,3imfb,4fl,4fl/imft,4ft,2ft,3ft,0,0,0,0,0,0
52,1010,CITRMOOR,1,0,0,0,0,0,0,0,0,0,0,0,0
53,1033,BRACACER,1,0,0,0,0,0,0,0,0,0,0,"2fb,fl",0
54,1025,BRACACER,2,0,0,0,0,0,0,0,0,0,0,"2fb,fl",0
55,1031,SYZYCREB,2,4ft,0,0,0,0,0,0,0,1imfb,3/4fb,"5fl,fb",5imft
56,1057,ACMEINGE,3,1imft,1imft,0,0,0,0,0,0,0,0,"2ft,2fl",2ft?
57,1061,LITSRETI,1,0,0,0,0,0,0,0,0,0,0,0,0
58,,DYSORUFU,,0,2imfb,0,0,0,0,0,0,0,0,"3fb,fl",3imft?
59,1055.1,DYSORUFU,1,1ft,1imfb?,0,1ft,1ft,1ft,0,0,0,0,"2imfb,2ft",2ft
60,1071,DORYSASS,2,0,0,0,0,0,0,0,0,0,0,0,0
61,1074,BRACACER,3,0,0,0,0,0,0,0,0,0,0,0,0
62,1075,ANTHNITI,2,0,0,0,0,0,0,0,0,0,0,0,0
63,1047,VITELIGN,2,0,3fl,3fl,4fl,1fl,1ft,0,1fl,1ft,0,0,1ft
64,1049,POLYCUNN,,,,,,,,,0,0,0,"2fb,fl?",0
65,,CUPAFLAG,,,,,,,,,0,0,0,0,0
66,1046,ELATNERV,4,0,0,0,0,0,0,0,0,0,0,0,0
67,1070,ACROSUBE,1,2fl,0,0,0,0,0,0,0,0,0,0,0
68,1079,DYSORUFU,2,1ft,1ft,0,0,0,0,0,0,0,0,2imfb,0?
69,1110,SYZYCREB,3,4ft,0,0,0,0,0,0,0,3imfb,3fb,"5fl,fb",2imft
70,1107,SYZYCREB,,3ft,0,0,0,0,0,0,0,3imfb,3fb,"4fl,fb",3imft
71,1116,WILKAUST,3,0,0,0,0,0,0,0,0,0,0,0,0
72,1115,MISCAUST,3,0,0,0,0,0,0,0,0,0,0,0,0
