No.,Tag,Namecode,Jan,Feb,Mar,Apr,May,June,July,Aug,Sep,Oct,Nov,Dec
,1191,HELIGLAB,0,?,4fl,0,1fl,1fl,1fl,1fl,0,1fl,0,0
91,1192,ACROPUBE,0,1imfb,1imfb,2imft?,??,0,0,1fb,0,0,1imft,2fb/1fl
92,1224,ARGYTRIF,0,0,3imfb,3fb,3fb,"2fls,fb","1fl,fb",0,2imft,2ft,1ft,0
93,1226,ARGYTRIF,0,0,3imfb,3fb,4fb,"3fls,fb","2fl,fb",0,2imft,2ft,1ft,0
94,1281,EUPOLAUR,0,0,0,0,0,0,0,0,0,0,0,0
95,1282,ELATNERV,0,0,0,0,0,0,0,0,0,0,0,0
97,1279,SARCSTIP,0,0,0,0,0,0,0,0,0,0,0,0
98,1272,SARCSTIP,0,0,0,0,0,0,0,0,0,0,0,0
99,1248,ORITEXCE,0,0,0,0,0,0,??,0,0,0,0,0
100,1252,LITSRETI,0,0,0,0,0,0,0,0,0,0,0,0
101,1255,ORITEXCE,0,0,0,0,0,??,??,0,0,0,0,0
102,1262,BALOINOP,0,1ft,1ft,1ft,1ft,0,0,0,1fl,2fl,0?,0
103,1319,DORYSASS,0,0,0,0,0,0,0,0,0,0,0,0
104,1318,DIOSPENT,1fl,2fl,0,0,0,0,0,0,0,0,0,0
105,1313,ATRABENT,0,0,0,0,0,0,2fb,0,3fl,0,0,0
,1287,POLYCUNN,0,0,0,0,0,0,0,0,1fb1fl,0,0,0
,1290,ORITEXCE,0,0,0,0,0,0,0,0,0,0,0,0
,5221.1,GUILMONO,0,0,0,0,0,0,0,0,0,0,0,0
,1340.1,GUILMONO,0,0,0,0,0,0,0,0,0,0,0,0
106,1343,DYSOFRAS,0,1ft,1ft,??,1ft,0?,0,0,0,0,0,0
107,1349,DIPLAUST,0,0,0,0,0,0,0,0,0,0,0,0
108,1352,DYSOFRAS,0,1ft,1ft,1ft,1ft,1imft,0,0,0,0,0,0
,1390.1,PHALCHER,0,0,0,0,0,0,0,0,0,0,0,0
109,1372,SYZYCREB,0,0,0,0,0,0,0,0,0,0,0,0
,15199,DYSORUFU,1imft,0,0,0,0,0,0,0,0,0,0,0
110,1406,ARGYACAC,0,0,0,0,0,0,0,0,0,0,0,0
111,1586,VITELIGN,1ft,0,1ft,0,0,0,0,0,0,0,1ft,0
112,1423,ANTHNITI,0,0,0,0,0,0,0,0,0,0,0,0
113,1414,DIOSPENT,1fl,1fl,1fl,0,0,0,0,0,0,0,0,0
114,1412,HALFKEND,imfb,5fbs,5fls,0,1imft,2imft,2imft,2imft,2imft,2imft,2ft,0
116,1467,SARCSTIP,0,0,0,0,0,0,0,0,0,0,0,0
117,1462,DIOSPENT,3fl,4fl,0,0,0,0,0,0,0,0,0,0
118,1456,BALOINOP,0,0,0,0,0,0,0,0,0,2fl,2imft,0
119,1457,VITELIGN,0,0,0,0,0,0,0,0,0,0,1ft,1ft
120,1453,DYSOFRAS,0,0,0,0,0,0,0,0,0,0,0,0
121,1450,ORITEXCE,0,0,0,0,0,0?,??,0,0,0,0,0
,1513,ACROSUBE,0,2fl,0,3ft,2ft,0,0,0,0,0,0,0
122,1512,BEILELLI,0,0,0,0,0,0,0,0,0,0,0,0
123,1523,EMMEALPH,0,0,0,0,0,1imfb,1imfb,1imfb,2fl,2imft?,2imft,2imft
124,1524,GUIOSEMI,0,0,0,0,0,0,0,0,0,0,0,0
125,1528,BRACACER,0,0,0,0,0,0,0,0,0,0,0,0
126,1596,DIOSPENT,0,0,0,0,0,0,0,0,0,0,0,0
127,1598,ARGYTRIF,0,0,0,0,0,0,0,0,0,0,0,0
128,1599,MISCAUST,0,0,0,0,0,0,0,0,0,0,0,0
