No.,Tag,Namecode,Jan,Feb,Mar,Apr,May,June,July,Aug,Sep,Oct,Nov,Dec
77,1144,HELIGLAB,"2fb,1fl","1fb,1fl","3fl,1imft","2fl,2imft","2fb,1fl",2fl,2fl,2fl,0,0,0,0
78,1138,ATRABENT,0,0,0,0,0,0,0,"1fb,2fl",0,0,0,0
79,1133,BALOINOP,0,0,0,0,0,0,0,0,0,0,0,0
80,1164,QUINVERD,0,0,0,0,0,0,0,2imfb,3fb,4fl,4imft,4ft
81,1564,EMMEALPH,1ft,"3imfb,1ft",3imfb,3imfb,4fb,4fb,4fb,4fl,2fl,5imft,4ft,3ft
82,1566,ARGYACAC,0,0,0,0,0,0,0,0,0,0,0,0
83,1172,DYSOFRAS,0,0,0,0,0,0,0,0,0,0,0,0
84,1159,VITELIGN,2fl,3fl,4fl,"3fl,1ft",1fl,1fl,1fl,0,0,0,0,3fl
85,1160,QUINVERD,0,0,0,0,0,0,0,2imfb,2fb,3fl,3imft,3ft
86,1176,GUIOSEMI,0,0,0,0,0,0,0,0,5fl/fb,0,0,0
87,1180,EUPOLAUR,0,0,0,0,0,0,0,0,0,0,0,0
88,2393,ACROPUBE,"2fb,1fl",3fb,3fb,3fl,4fb,"2fb,2fl","1fb,3fl",2fl,0,0,0,1imfb
89,1205,BRACACER,0,0,0,0,0,0,0,0,0,0,0,0
90,1212,ACMEINGE,??,??,0,0,1imft,0,0,0,0,5fb/fl,4fl/immft,2imft
91,1183,ORITEXCE,0,0,0,0,0,?imfb,4fb,5fl,0,5imft,5imft,5ft 
92,1200,ACROOBLO,0,0,0,0,0,0,0,0,0,0,0,0
93,,ACROOBLO,0,0,0,0,0,0,0,0,0,0,0,0
94,1238,DORYSASS,0,0,0,0,0,0,0,0,0,0,0,0
95,2436,QUINVERD,0,0,0,0,0,0,0,0,1fb,1fl,0,0
96,1215,EUPOLAUR,1fb,0,0,0,0,0,0,0,0,0,1imft,1imft?
97,1191,HELIGLAB,3fb,5fl,5fl,"4fl,1imft",1fl,1fl,1fl,1fl,0,0,0,1fl
98,1192,ACROPUBE,"2fb,1fl",0,0,0,"2fb,2fl","2fb,2fl","1fb,2fl",2fl,0,0,0,3fb
99,1224,ARGYTRIF,0,0,3imfb,"1imfb,2fl",2imfb,0,0,0,0,0,0,0
100,1226,ARGYTRIF,0,0,1imfb,"2imfb,1fl",1imfb,0,0,0,0,0,0,0
101,1281,EUPOLAUR,0,0,0,0,0,0,0,0,0,0,0,0
102,1282,ELATNERV,0,0,0,0,0,0,0,0,0,0,0,0
103,1279,SARCSTIP,0,0,0,0,0,0,0,2fl?,0,0,0,0
104,1272,SARCSTIP,1ft,0,0,0,0,3fb?,4fl?,3fl?,2imft,2ft,0,0
105,1248,ORITEXCE,0,0,0,0,0,3fb?,5fl,5fl,3imft,3imft,3imft,3ft
106,1252,LITSRETI,0,0,0,0,0,0,0,0,0,0,0,0
107,1255,ORITEXCE,0,0,0,0,0,3fb?,3fl,3fl,2imft,2imft,2imft,2ft
108,1262,BALOINOP,0,0,0,0,0,0,0,0,0,0,0,
109,1319,DORYSASS,0,0,0,0,0,2fb?,"1fb,1fl",0,0,0,0,0
110,1318,DIOSPENT,0,0,0,0,0,0,0,0,0,0,1fl,2fl
111,1313,ATRABENT,0,0,0,0,0,0,0,2fl,0,0,0,0
112,1287,POLYCUNN,1imft,1imft,3fb,3fl,"3fb,2fl","2fb,2fl","1fb,4fl","1fb,4fl","1fb,3fl",1fl,1imft,0
113,,CUPAFLAG,0,0,0,0,0,0,0,0,0,0,0,0
114,1290,ORITEXCE,0,0,0,0,0,3fb?,4fl,4fl,0,4imft,4imft,4ft
115,5221.1,GUILMONO,0,0,0,0,0,0,0,0,0,0,0,0
116,1340.1,GUILMONO,0,0,0,0,0,0,0,0,0,0,0,0
117,1343,DYSOFRAS,0,"2imfb,1ft","4imfb,1ft","3fl,1ft","2fb,1fl",2fb?,3fb,?,3imft,4imft,4imft,4ft
118,1349,DIPLAUST,0,0,0,0,0,0,0,0,3imfb,3fl,0,0
119,,AKANBIDW,0,0,0,0,0,0,0,0,0,0,0,0
120,988,DORYSASS,0,0,0,0,0,0,0,0,0,0,0,0
121,1352,DYSOFRAS,2imfb?,3imfb,4imfb,"3imfb,1fl","3fb,2fl",3fb?,3fb,?,2imft,4imft,4imft,4ft
122,1353,KARABENT,,,,,,,,,,4fb/fl,5fl,5imft
123,1390.1,PHALCHER,0,0,0,0,0,0,0,4imfb,4fb,0,0,0
124,958.1,ACROPUBE,,,,0,"3fb,2fl","3fb,2fl","2fb,3fl",1fl,0,0,2imfb,2imfb
125,1372,SYZYCREB,0,1ft,0,0,0,0,0,0,0,0,0?,0
126,15199,DYSORUFU,0,0,0,0,0,?,2imft,2imft,2imft,2imft,1imft,1imft
127,1406,ARGYACAC,0,0,0,0,0,0,0,0,0,0,0,0
128,1586,VITELIGN,0,0,0,0,1fl,0,0,0,0,0,0,0
129,1423,ANTHNITI,0,0,0,0,0,0,0,0,0,0,0,0
130,1414,DIOSPENT,0,0,0,0,0,0,0,0,0,0,1fl,1fl
131,1412,HALFKEND,5fb,5fl,0,0,2imft,2imft,1imft,1imft,1ft,1ft,0,0
132,1485.1,CUPAFLAG,0,0,0,0,0,0,0,0,0,0,0,0
133,1467,SARCSTIP,1ft,0,0,0,0,0,0,0,0,0,0,0
134,1462,DIOSPENT,0,0,0,0,0,0,0,0,0,0,0,3 +
135,1456,BALOINOP,1ft,0,0,0,0,0,0,0,0,0,0,0
136,1457,VITELIGN,0,0,0,0,2fl,?,1imft,0,0,1imft,0,0
137,1453,DYSOFRAS,0,2imfb,2imfb,2fl,3fl,?,2fb,2fb,1imft,0,0?,0
138,1450,ORITEXCE,0,0,0,0,0,?,4fb,5fl,0,3imft,3imft,3ft
139,1513,ACROSUBE,2fl,1imft,2ft,3ft,2ft,0,0,0,0,0,0,0
140,1512,BEILELLI,0,0,0,0,0,0,0,0,0,0,0,0
141,1523,EMMEALPH,2imfb,2imfb,5imfb,5fb,5fb,5fb,5fb,5fb,4fl,5imft,4imft,4ft
142,2741,ATRABENT,,,,,,,,,,,2imft,?
143,1524,GUIOSEMI,0,0,0,0,0,0,0,0,0,0,0,0
144,1528,BRACACER,0,0,0,0,0,0,0,0,0,0,0,0
145,1596,DIOSPENT,0,0,0,0,0,0,0,0,0,0,0,0
146,1598,ARGYTRIF,0,0,0,0,0,0,0,0,0,0,0,0
147,1599,MISCAUST,0,0,0,0,0,0,0,0,0,0,0,0
148,,SARCSTIP,0,0,0,0,0,3fb?,3fl?,3fl,"4fls,fb",2ft,0,0
