No.,Tag,Namecode,Jan,Feb,Mar,Apr,May,June,July,Aug,Sep,Oct,Nov,Dec
1,844,ARGYACAC,0,0,0,0,0,0,0,0,0,0,0,0
2,832,DORYSASS,0,0,0,0,0,3fb,3fl,?,0,2imft,1ft,0
3,,HELIGLAB,,2fl,2fl,2fl,2imft?,?,0,0,0,0,0,0
4,852,VITELIGN,0,0,0,0,0,0,0,0,0,1ft,0,0
5,1600,BALOINOP,0,0,0,0,0,0,0,0,0,0,0,0
6,859,EMMEALPH,0,1imfb?,1imfb,1imfb,4fb,4fb,4fb,"4fb,1fl",5fl,5imft,4imft,3ft
7,862,DIPLAUST,0,0,0,0,0,0,0,0,0,0,0,0
8,861,SYZYCREB,2ft,0,0,0,0,0,0,0,0,0,0,0
9,1480,QUINVERD,0,0,0,0,0,0,0,1imfb,"1fb,1fl",1fl,1imft,1ft
10,873,SARCSTIP,0,0,0,0,0,2fb,2fb,2fl,2imft,2ft,2ft,0
11,882,VITELIGN,0,0,1fl,1ft,0,0,0,0,0,1ft,0,1ft
12,899,DIPLAUST,0,0,0,0,0,0,0,0,0,0,0,0
13,896,HALFKEND,0,0,0,0,0,0,0,0,0,0,0,0
14,937,ATRABENT,0,0,0,0,0,0,3fb,3fl,0,0,0,0
15,931,ARGYACAC,0,0,0,0,0,0,0,0,0,0,0,0
16,942,ANTHNITI,0,0,0,0,0,0,0,0,1fb/ft?,1fb/ft?,1fb/ft?,0
17,921,ACROPUBE,1imft,1ft,3imfb,"3imfb,1fl","3fb,1fl","3fb,2fl","3fb,3fl",2fl?,0,0,0,0
18,,ATRABENT,,4imft,4imft,3imft,0,0,0,?,2imft,3imft,2imft,3imft
19,920,ATRABENT,0,0,0,0,0,3fb,"4fb, 1fl",4fl,0,0,0,0
20,1431,DIOSPENT,0,0,0,0,0,0,0,0,0,0,1fl,2fl
21,918,ATRABENT,0,0,0,0,0,2fb?,2fb,3fl,0,0,0,0
22,2061,WILKHUEG,0,0,0,0,0,0,0,0,0,0,0,0
23,2138,WILKAUST,0,0,0,2imfb,2fb,2fb,3fb,3fb,3fl,1fl,0,0
24,2091,WILKHUEG,0,0,0,0,0,3fb,5fb,"5fb,1fl","3fb,2fl",1fl,0,0
25,955,MISCAUST,0,0,0,0,0,0,0,0,0,0,0,0
26,2099,WILKHUEG,0,0,0,0,0,3fb,5fb,"5fb,1fl","3fb,3fl",3fl,0,3imft
27,958,HELIGLAB,"2fb,2fl",2fl,2fl,2fl,3fl,3fl,"3fl,1imft",3fl,1fl,1imft,1fl,0
28,959,MISCAUST,0,0,0,0,0,0,0,0,0,0,0,2fb/fl?
29,961,ELATNERV,0,0,0,0,0,0,0,0,0,0,0,0
30,2182,WILKHUEG,0,0,0,0,0,0,2fb+,1fb,1fb,0,0,0
31,2178,WILKHUEG,0,0,0,0,0,0,0,0,0,0,0,0
32,2160?,ACROPUBE,2fb,3fb,3fb,3fl,3fb,"3fb,2fl",3fl+,2fl,0,0,1imfb,1imfb
33,2175,WILKAUST,0,0,0,3fb,4fb,4fb,4fb,4fb,3fl,0,0,1imft?
34,972,ELATNERV,0,0,0,0,0,0,0,0,0,0,0,0
35,1546,ARGYACAC,0,0,0,0,0,0,0,0,0,0,0,0
36,1545,ORITEXCE,0,0,0,0,0,0,0,0,0,0,0,0
37,962,EMMEALPH,0,0,0,0,1fb?,0,0,0,0,0,0,0
38,5219.1,PHALCHER,0,0,0,0,0,0,0,2imfb,2fb,0,0,0
39,1020,ACMEINGE,0,0,0,0,0,0,1ft,0,1ft,0,0,0
40,1018,DYSOFRAS,3fb,"3fb,2ft","3fb,2ft","4fb,2ft","2fb,1fl,2ft",2fb,2fb,0,0,0,5imft,5ft +
41,1019,EUPOLAUR,"1fb,1imft",2imft,2imft,2imft,2ft,2ft,2ft,0,0,0,0,0
42,1548,ACMEINGE,0,0,0,0,0,0,0,0,0,4fl/imft?,0,0
43,1550,ELATNERV,0,0,0,0,0,0,0,0,0,0,0,0
44,1017,MELIMICR,5fl?,5imft,5imft,3ft,1ft,1ft,1ft,0,0,4imfb,4imfb,4fl?
45,1067,ARGYTRIF,0,0,3imfb,"3imfb,1fl",3fb?,0,0,0,0,0,0,0
46,1004,POLYELEG,4fb,"4fb,fls",4fl,4imft,4imft,4ft,3ft,1ft,0,0,0,0
47,1065,POLYELEG,4fb,"4fb,fls",4fl,4imft,4imft,4ft,3ft,1ft,0,0,0,0
48,1010,CITRMOOR,0,0,0,0,0,0,0,0,0,0,0,0
49,1033,BRACACER,0,0,0,0,0,0,0,0,0,0,0,0
50,1025,BRACACER,2fl,0,0,0,0,0,0,0,0,0,0,0
51,1031,SYZYCREB,1ft,0,0,0,0,0,0,0,0,2fb,3imft,3ft
52,1057,ACMEINGE,0,1imft,1imft,1imft,1imft,0,0,0,0,4fb/fl,1ft,1ft
53,1061,LITSRETI,0,0,0,0,0,0,0,0,0,0,0,0
54,,DYSORUFU,"4fb,2fl",2fl,0,0,0,0,0,0,0,0,0,0
55,1055.1,DYSORUFU,"2fb,1ft","1fb,2fl",0,0,3imft,3imft,3imft,2imft,2ft,3ft,3ft,3ft
56,1071,DORYSASS,0,0,0,0,0,4fb,5fl,?,2imft?,0?,0?,0
57,1074,BRACACER,0,0,0,0,0,0,0,0,0,0,0,0
58,1075,ANTHNITI,0,0,0,0,0,0,0,0,0,0,0,0
59,1047,VITELIGN,0,2fl,2fl,"1fl,1ft",2fl,0,0,0,1ft,1ft,1ft,0
60,1046,ELATNERV,0,0,0,0,0,0,0,0,0,0,0,0
61,1070,ACROSUBE,1fl,0,0,0,0,0,0,0,0,0,0,0
62,1079,DYSORUFU,0,0,0,0,0,0,0,0,1ft,1ft,1ft,1ft
63,1110,SYZYCREB,2ft,0,0,0,0,0,0,0,0,0,3imft,2ft
64,1107,SYZYCREB,,,,,,,,,,5fb,2imft,1ft
65,1116,WILKAUST,0,0,0,3fb,4fb,4fb,5fb,5fb,"4fl,1fb",0,0,0
66,1115,MISCAUST,0,0,0,0,0,0,0,0,0,0,0,0
67,1220,QUINVERD,0,0,0,0,0,0,0,3imfb,4fb,4fl,4imft,4ft
68,1221,DIPLAUST,0,0,0,0,0,0,0,0,"5fb,1fl",4imft,1ft,0
69,1217,DIPLAUST,0,0,0,0,0,0,0,0,0,0,0,0
70,1231,ACMEINGE,2imft,2imft,2imft,2imft,2ft,2ft,3ft,3ft,3ft,"2ft,2fb/fl",1ft,0
71,1122,SYZYCREB,1imft,0,0,0,0,0,0,0,0,0,0,0
72,2278,WILKAUST,0,0,0,3fb,2fb,2fb,2fb,"3fb,1fl","1fb,3fl",1fl,0,0
73,2281,WILKAUST,0,0,0,0,1fb,1fb,2fb,3fb,"1fb,3fl",1fl,0,0
74,1094,ARGYTRIF,0,0,0,0,0,0,0,0,0,0,0,0
75,1801,LITSRETI,5imfb,5imfb,"3fb,2fl","2fb,3fl",4fl,1fl,0,0,0,0,0,0
76,1091,DIOSPENT,,,,,,,,,,,,5fl
