No.,Tag,Namecode,Tree,Jan,Feb,Mar,Apr,May,June,July,Aug,Sep,Oct,Nov,Dec
39,1545,ORITEXCE,,0,0,0,0,0,0,0,0,0,0,0,0
40,962,EMMEALPH,2,0,0,0,0,0,0,2fb,4fb,"4fl,fb",4imft,4imft,4ft
41,5219.1,PHALCHER,,0,0,0,0,0,0,0,0,0,0,0,0
42,1020,ACMEINGE,1,1ft,1ft,1ft,3imft,3ft,4ft,4ft,4ft,4ft,3ft,3ft,"2ft,4imft"
43,1018,DYSOFRAS,1,0,0,0,0,0,0,0,0,0,0,0,1ft
44,1019,EUPOLAUR,1,0,0,0,0,0,0,0,0,,,,
45,1548,ACMEINGE,2,0,0,0,0,0,0,0,0,0,0,3fl,0??
46,1550,ELATNERV,3,0,0,2ft,1ft,1ft,0,0,0,0,0,0,0
47,1017,MELIMICR,1,"4fb,1fl",4imft,4ft,4ft,1ft,0,0,0,0,2imfb?,4fb,4fb
48,,GUILMONO,,"2fl,2imft",3ft,2ft,0,0,0,0,0,0,0,2fb,0
49,1067,ARGYTRIF,1,0,0,"4fb,1fl","4fb,2fl","3fb, 2fl","2fl,2imft","1fl,3imft?",2ft,3ft,3ft,1ft,0
50,1004,POLYELEG,1,2imfb,2fb(fl?),3imft,3ft,3ft,3ft,2ft,0,0,0,0,0
51,1065,POLYELEG,2,2imfb,2fb(fl?),3imft,3ft,3ft,1ft,1ft,0,0,0,0,0
52,1010,CITRMOOR,1,0,0,0,0,0,0,0,0,0,0,0,0
53,1033,BRACACER,1,0,0,0,0,0,0,0,0,0,0,0,0
54,1025,BRACACER,2,0,0,0,0,0,0,0,0,0,0,0,0
55,1031,SYZYCREB,2,5ft,3ft,0,0,0,0,0,0,0,0,0,0
56,1057,ACMEINGE,3,0,0,0,0,0,2ft,0?,0,0,0,3fl,2imft
57,1061,LITSRETI,1,0,0,0,??,0,0,0?,4imft,3imft,3ft,4ft,4ft
58,,DYSORUFU,,5fl,2fl,0,0,0,0,0,0,0,0,0,0
59,1055.1,DYSORUFU,1,"2fl,1ft",1fl,0,0,0,3ft,3ft,3ft,3ft,4ft,4ft,4ft
60,1071,DORYSASS,2,0,0,?,?,?,2fb,??,0,0,0,0,0
61,1074,BRACACER,3,0,0,0,0,0,0,0,0,0,0,0,0
62,1075,ANTHNITI,2,0,0,0,0,0,0,0,0,0,0,0,0
63,1047,VITELIGN,2,2fl,4fl,"5fl,1imft","3fl,2imft",1fl,1fl,0,0,2imft,1ft,1ft,0
64,1049,POLYCUNN,,0,0,"2fb,1fl","2fb,1fl","2fb,1fl","[2fb,1fl]","2fb,1fl","1fl,2imft",??,0,1ft,1ft
65,,CUPAFLAG,,0,0,0,0,0,0,0,0,0,0,0,0
66,1046,ELATNERV,4,0,0,0,0,0,0,0,0,0,0,0,0
67,1070,ACROSUBE,1,"2fb,fl",0,?,0,0,0,0,0,0,0,0,0
68,1079,DYSORUFU,2,0,0,0,0,0,0,0,0,0,0,0,0
69,1110,SYZYCREB,3,2ft,1ft,0,0,0,0,0,0,0,0,0,0
70,1107,SYZYCREB,,4ft,1ft,0,0,0,0,0,0,0,0,1fl - single branch,0
71,1116,WILKAUST,3,0,0,0,0,0,0,0,0,0,0,0,0
72,1115,MISCAUST,3,0,0,0,0,0,0,0,0,0,0,0,0
73,1220,QUINVERD,1,0,0,0,0,0,0,0,0,4imfb,"4fl,fb",4imft,4imft/ft
74,1221,DIPLAUST,3,0,0,0,0,0,0,0,0,2imfb,"4fb,fl",4ft,0
75,1217,DIPLAUST,4,0,0,0,0,0,0,0,0,1imfb,"3fb,fl",3ft,0
76,1231,ACMEINGE,5,?,4imft,3imft,3imft,3imft,3ft,3ft,3ft,3ft,1ft (fallen),3fb/fl?,3fl/imft
77,1122,SYZYCREB,4,3ft,1ft,0,0,0,0,0,0,0,0,3ft,0
78,2278,WILKAUST,4,0,0,0,0,0,0,0,0,0,0,0,0
79,2281,WILKAUST,5,0,0,0,0,0,0,0,0,2fb,0,0,0
80,1094,ARGYTRIF,2,0,0,0,0,0,0,0,0,0,0,0,0
81,1801,LITSRETI,3,0,0,5fl,0,0,0,0,0,0,0,0,0
82,1091,DIOSPENT,,0,0,0,0,0,0,0,0,0,0,0,0
,1148,ARGYTRIF,,,,5imfb,5fb,"2fb,2fl",??,3immft,3imft,3imft,3ft,1ft,0
83,1144,HELIGLAB,2,"4fl,fb","4fl,fb",2fl,"2fb,3+ft","1fl,1ft",1ft,"1fl,1ft",1fl,1ft,0,0,3fb/fl
84,1138,ATRABENT,4,0,0,0,0,0,2fb,2fb,"1fb,3fl",0,0,0,0
85,1133,BALOINOP,3,0,0,0,0,0,0,0,0,??,0,0,0
86,1164,QUINVERD,2,0,0,0,0,0,0,0,0,0,0,0,0
87,1564,EMMEALPH,3,2ft,2ft,2ft,"1ft,2imfb","1ft,3imfb",4fb,4fb,4fb,"4fl,2fb",4imft,4imft,4ft
88,1566,ARGYACAC,6,2fb,3fls,0,0,0,0,0,0,0,0,0,0
89,1172,DYSOFRAS,2,0,0,0,0,0,0,0,0,0,0,0,0
90,1159,VITELIGN,3,"2fb,fl",2fl,2fl,0,0,0,0,0,0,0,0,0
91,1160,QUINVERD,3,0,0,0,0,0,0,0,0,3imfb,"3fb,fl",3imft,"2fb,fl"
92,1176,GUIOSEMI,1,0,0,0,0,0,0,0,0,0,0,0,4imft
93,1180,EUPOLAUR,3,0,0,0,0,0,0,0,0,0,0,0,0
94,2393,ACROPUBE,4,2imfb,4imfb,"3fb,1fl",3fb,"3fb,2fl","2fb,2ft","2fb,1ft",1fb,0,0,0,2fb?
95,1205,BRACACER,4,0,0,0,0,0,0,0,0,0,0,0,0
96,1212,ACMEINGE,4,0?,0,0,0,0,0,0,0,0,5imfb,5fl,2imft?
97,1183,ORITEXCE,,0,0,0,0,1imfb?,??,0,0,0,0?,0,0
98,1126,ACROSUBE,,0,0,0,0,0,0,0,0,0,0,0,0
99,1200,ACROOBLO,1,0,0,0,0,0,0,0,0,0,0,0,0
100,,ACROOBLO,2,0,0,0,0,0,0,0,0,0,0,0,0
101,1238,DORYSASS,3,0,0,0,0,0,0,0,0,0,0,0,0
102,2436,QUINVERD,4,0,0,0,0,0,0,0,0,2imfb,"2fb,fl",2imft,2imft
103,1215,EUPOLAUR,4,0,0,0,0,0,0,0,0,0,0,2fb,4fl
104,1191,HELIGLAB,,"5fb,fl","5fl,fb","3fb,fl","3fb,fl",3fl,"2fl,1ft",1ft,0,0,0,0,3fb/fl
105,1192,ACROPUBE,5,0,0,0?,0?,,,,,,,,
106,1224,ARGYTRIF,6,0,0,0,1fb,1fb,0,1imft?,1imft?,1imft?,1ft,1ft,0
107,1226,ARGYTRIF,3,0,0,3imfb,3fb,2fb,0,2imft?,2imft?,2imft?,2ft,2ft,0
108,1281,EUPOLAUR,5,0,0,0,0,0,0,0,0,0,0,2fb,0
109,1282,ELATNERV,5,0,0,0,0,0,0,0,0,0,0,0,0
110,1279,SARCSTIP,4,0,0,0,0,0,0,0,0,0,0,2imft,0?
111,1272,SARCSTIP,5,0,0,0,0,0,0,0,0,0,0,3imft,4ft
112,1248,ORITEXCE,3,0,0,0,0,0,0,0,0,2fl,0,0,0
113,1252,LITSRETI,2,0,0,0,0,0,0,0,0,0,0,0,0
114,1255,ORITEXCE,4,0,0,0,0,0,0,0,0,0,0,0,0
115,1262,BALOINOP,4,0,0,0,0,0,0,0,0,??,0,0,0
116,1319,DORYSASS,4,0,0,0,0,0,0,0,0,0,0,0,0
117,1318,DIOSPENT,2,0,0,0,0,0,0,0,0,0,0,0,0
118,1313,ATRABENT,5,0,0,0,0,0,0,2fb,"2fl,1fb",2fl,0,0,0
,,ATRABENT,,,,,,,,,,,,,2imft
119,1287,POLYCUNN,,0,"2fb,fl","3fb,fl","5fb,fl","4fb,fl","2fb,4fl","2fb,3fl","1fb,1fl","2fb,2fl,2imft","2fl,2ft",2ft,3ft
120,,CUPAFLAG,,0,0,0,0,0,0,0,0,0,0,4fb,"4fb,fl"
121,1290,ORITEXCE,,0,0,0,0,0,0,0,0,0,0,0,0
122,5221.1,GUILMONO,,"1fl,2imft",1ft,1ft,0,0,0,0,0,0,2imfb?,3fb,3imfb
123,1340.1,GUILMONO,,"2fl,2imft",1ft,1ft,0,0,0,0,0,0,2imfb?,4fb,4imfb
124,1343,DYSOFRAS,3,0,1imft,1imft,1imft,0,0,0,0,0,0,0,0
125,1349,DIPLAUST,5,0,0,0,0,0,0,0,0,3imfb,"3fb,fl?",2ft,0
126,,AKANBIDW,,0,0,0,0,0,0,0,3imfb,???,0,0,0
127,988,DORYSASS,,0,0,0,0,0,0,0,0,0,0,0,0
128,1352,DYSOFRAS,4,0,0,0,0,0,0,0,0,0,0,0,0
129,1353,KARABENT,,0,0,0,0,0,0,0,0,4imfb,5fb,5fl,5ft (im?)
130,1390.1,PHALCHER,,0,0,0,0,0,0,0,0,0,"2fl,fb",0,0
131,958.1,ACROPUBE,,0,2imfb,3imfb,3fb,"3fl,1fb",??,0,0,0,2imfb,4fb,5fb
132,1372,SYZYCREB,5,3ft,0,0,0,0,0,0,0,0,0,0,0
133,15199,DYSORUFU,3,"3fb,2fl",1fb?,0,0,0,1imft,1imft,1imft,??,??,1imft,1imft
