No.,Tag,Namecode,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1,844,ARGYACAC,0,0,0,0,0,0,0,0,0,0,0,0
2,832,DORYSASS,0,0,0,0,0,0,0,4fl,0,0,4fr,2fr
3,879,BALOINOP,3fr,4fr,3fr,2fr,0,0,0,0,0,0,0,1fr
4,1600,BALOINOP,1fr,2fr,1fr,0,0,0,0,0,0,0,0,0
5,859,EMMEALPH,,,,,,,,,,,,
6,862,DIPLAUST,0,0,0,0,0,0,0,0,4fbd,4fbd,4fl,3fr
7,861,SYZYCREB,0,0,0,0,0,0,0,0,0,0,0,1fl
8,1480,QUINVERD,0,0,0,0,0,0,0,0,0,3fbd,3fl,3fl
9,873,SARCSTIP,0,0,0,0,0,0,0,0,2fl,0,0,2fr
10,882,VITELIGN,,,,,,,,,,,,
11,899,DIPLAUST,3fl,2fr,0,0,0,0,0,0,2fbd,3fbd,3fl,4fr
12,1541,SARCSTIP,0,0,0,0,0,0,0,0,1fl,0,0,0
13,896,HALFKEND,,,,,,,,,,,,
14,889,ACROPUBE,0,2fr,2fr,0,1fbd,1fbd,1fbd,2fl,0,0,0,1fr
15,937,ATRABENT,0,0,0,0,0,0,0,0,2fl,0,0,0
16,1544,ACROPUBE,0,1rf,0,0,0,0,4fb,5fb,2fb,0,2imft,2fr
17,931,ARGYACAC,0,0,0,0,0,0,0,0,0,0,0,0
18,942,ANTHNITI,,,,,,,,,,,,
19,921,ACROPUBE,0,0,0,0,2fb,2b,2fl,2fl,2fl,1fr,1fr,"3fl,1fr"
20,920,ATRABENT,0,0,0,0,0,0,0,0,4fl,0,0,0
21,1431,DIOSPENT,0,0,0,0,0,0,0,0,0,0,0,0
22,918,ATRABENT,0,0,0,0,0,0,0,0,2fl,0,0,0
23,2061,WILKHUEG,0,0,0,0,0,0,0,0,0,0,0,0
24,2138,WILKAUST,0,0,0,0,0,0,0,0,0,0,0,0
25,2091,WILKHUEG,0,0,0,0,0,0,0,0,0,0,0,0
26,955,MISCAUST,0,0,0,0,0,0,0,0,0,0,0,0
27,2099,WILKHUEG,0,0,0,0,0,0,0,0,0,0,0,0
28,958,HELIGLAB,,,,,,,,,,,,
29,959,MISCAUST,0,0,0,0,0,0,0,0,0,0,0,0
30,961,ELATNERV,0,0,0,0,0,0,0,0,0,0,0,0
31,2182,WILKHUEG,0,0,0,0,0,0,0,0,0,0,0,0
32,2178,WILKHUEG,0,0,0,0,0,0,0,0,0,0,0,0
33,2175,WILKAUST,0,0,0,0,0,0,4fbd,4fbd,4fl,4fl,4fl,0
34,972,ELATNERV,0,0,0,0,0,0,0,0,0,0,0,0
35,1546,ARGYACAC,0,0,0,0,1fl,0,0,0,0,0,0,0
36,962,EMMEALPH,,,,,,,,,,,,
37,1020,ACMEINGE,0,2fr,2fr,3fr,3fr,3fr,3fr,3fr,3fr,2fr,2fr,0
38,1018,DYSOFRAS,0,0,2fr,3fr,1fr,0,0,2fbd,1imfr,1fr,0,3imfr
39,1019,EUPOLAUR,0,0,0,0,0,0,0,0,0,0,0,0
40,1548,ACMEINGE,0,1fr,1fr,0,0,0,0,1imft,0,0,0,0
41,1550,ELATNERV,0,0,0,0,0,0,0,0,0,0,0,0
42,1067,ARGYTRIF,0,0,0,2fbd,4fbd,4fbd,4fbd,1fl,0,0,1ft,0
43,1010,CITRMOOR,,,,,,,,,,,,
44,1033,BRACACER,0,0,0,0,0,0,0,0,0,0,0,0
45,1025,BRACACER,0,0,0,0,0,0,0,0,0,0,0,0
46,1031,SYZYCREB,5fr,5fr,2fr,0,0,0,0,0,0,0,0,0
47,1057,ACMEINGE,0,0,0,0,0,0,0,0,0,0,0,0
48,1061,LITSRETI,,,,,,,,,,,,
49,1055.1,DYSORUFU,,,,,,,,,,,,
50,1071,DORYSASS,0,0,0,0,0,0,0,4fl,0,0,2fr,0
51,1074,BRACACER,0,0,0,0,0,0,0,0,0,0,0,0
52,1075,ANTHNITI,,,,,,,,,,,,
53,1047,VITELIGN,,,,,,,,,,,,
54,1046,ELATNERV,0,0,0,0,0,0,0,0,0,0,0,0
55,1044,EUPOLAUR,0,0,0,0,0,0,0,0,0,0,0,0
56,1070,ACROSUBE,,,,,,,,,,,,
57,1079,DYSORUFU,,,,,,,,,,,,
58,1103,ORITEXCE,0,0,0,0,0,0,0,4fl,4fl,0,3fr,4fr
59,1110,SYZYCREB,3fr,4fr,2fr,0,0,0,0,0,0,0,0,0
60,1116,WILKAUST,0,0,0,0,0,0,2fbd,2fbd,2fbd,3fl,3fl,0
61,1115,MISCAUST,0,0,0,0,0,0,0,0,0,0,0,0
62,1220,QUINVERD,0,0,0,0,0,0,0,0,0,4fbd,5fl,5fl
63,1221,DIPLAUST,2fr,0,0,0,0,0,0,0,2fbd,4fl,4imfr,5fr
64,1217,DIPLAUST,1fl,0,0,0,0,0,0,0,5fbd,4fbd,4fl,5fr
65,1231,ACMEINGE,2fr,3fr,2fr,2fr,2fr,2fr,2fr,2fr,2fr,2fr,1fr,0
66,1122,SYZYCREB,0,0,0,0,0,0,0,0,0,0,0,0
67,2278,WILKAUST,0,0,0,0,0,0,1fbd,3fbd,3fbd,2fl,1fl,0
