No.,Tag,Namecode,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
68,2281,WILKAUST,0,0,0,0,0,0,1fbd,2fbd,2fbd,2fl,2fl,0
69,1094,ARGYTRIF,0,0,0,0,0,0,0,0,0,0,0,0
70,1086,SARCSTIP,0,0,0,0,0,0,0,0,0,0,0,0
71,1558,ARGYACAC,0,0,0,0,1fl,0,0,0,0,0,0,0
72,1144,HELIGLAB,,,,,,,,,,,,
73,1138,ATRABENT,0,0,0,0,0,0,0,0,2fl,0,0,0
74,1133,BALOINOP,2fr,2fr,1fr,0,0,0,0,0,0,0,0,0
75,1164,QUINVERD,0,0,0,0,0,0,0,0,0,2fbd,2fl,5fl
76,1564,EMMEALPH,,,,,,,,,,,,
77,1566,ARGYACAC,,,,,,,,,,,,
78,1172,DYSOFRAS,0,0,0,0,0,0,0,1fbd,0,0,0,0
79,1159,VITELIGN,,,,,,,,,,,,
80,1160,QUINVERD,0,0,0,0,0,0,0,0,0,4fbd,4fl,2fl
81,1176,GUIOSEMI,0,0,0,0,0,0,0,0,0,4fbd,5fl,3imfr
82,1180,EUPOLAUR,0,0,0,0,0,0,0,0,0,0,0,0
83,2393,ACROPUBE,,,,,,4fbd,3fl,4fl,3fl,3fr,3fr,1fr
84,1205,BRACACER,0,0,0,0,0,0,0,0,0,0,0,0
85,1212,ACMEINGE,0,4fr,3fr,0,0,0,0,0,0,,4fb,0
86,1200,ACROOBLO,,,,,,,,,,,,
87,,ACROOBLO,,,,,,,,,,,,
88,1238,DORYSASS,0,0,0,0,0,0,0,1fl,0,0,0,0
89,2436,QUINVERD,0,0,0,0,0,0,0,0,0,3fbd,3fl,4fl
90,1215,EUPOLAUR,0,0,0,0,0,0,0,0,0,0,2fbd,0
91,1192,ACROPUBE,0,0,0,0,0,0,4fb,4fb,2fl,0,0,2fr 
92,1224,ARGYTRIF,,,,,,,,,,,,
93,1226,ARGYTRIF,0,0,0,0,3fbd,3fbd,3fl,0,0,0,0,0
94,1281,EUPOLAUR,0,0,0,0,0,0,0,0,0,0,0,0
95,1282,ELATNERV,0,0,0,0,0,0,0,0,0,0,0,0
96,1277,ORITEXCE,0,0,0,0,0,0,0,1fbd,1fl,0,1fr,0
97,1279,SARCSTIP,0,0,0,0,0,0,0,0,0,0,0,0
98,1272,SARCSTIP,0,0,0,0,0,0,0,0,0,0,0,2fr
99,1248,ORITEXCE,0,0,0,0,0,0,0,3fl,3fl,0,3fr,2fr
100,1252,LITSRETI,,,,,,,,,,,,
101,1255,ORITEXCE,0,0,0,0,0,0,0,2fbd,2fl,0,3fr,2fr
102,1262,BALOINOP,1fr,1fr,0,0,0,0,0,0,0,0,0,1fr
103,1319,DORYSASS,0,0,0,0,0,0,0,3fbd,0,0,0,2fr
104,1318,DIOSPENT,0,0,0,0,0,0,0,0,0,0,0,0
105,1313,ATRABENT,0,0,0,0,0,0,0,0,5fl,0,0,0
106,1343,DYSOFRAS,0,0,0,0,3fbd,0,0,1fbd,2imfr,1fr,1fr,3fr
107,1349,DIPLAUST,2fr,1rf,0,0,0,0,0,0,2fbd,4fbd,4fl,3fr
108,1352,DYSOFRAS,0,0,0,0,4fl,0,0,0,0,0,0,0
109,1372,SYZYCREB,0,0,0,0,0,0,0,0,0,0,0,0
110,1406,ARGYACAC,0,0,0,0,2fl,0,0,0,0,0,0,0
111,1586,VITELIGN,,,,,,,,,,,,
112,1423,ANTHNITI,,,,,,,,,,,,
113,1414,DIOSPENT,0,0,0,0,0,0,0,0,0,0,0,0
114,1412,HALFKEND,,,,,,,,,,,,
115,1488,DORYSASS,0,0,0,0,0,0,0,0,0,0,0,2fr
116,1467,SARCSTIP,0,0,0,0,0,0,0,0,0,0,0,0
117,1462,DIOSPENT,,,,,,,,,,,,
118,1456,BALOINOP,0,0,0,0,0,0,0,0,0,0,0,0
119,1457,VITELIGN,,,,,,,,,,,,
120,1453,DYSOFRAS,0,0,0,0,0,0,0,3fbd,2imfr,0,0,0
121,1450,ORITEXCE,0,0,0,0,0,0,0,2fbd,2fl,0,1fr,2fr
122,1512,BEILELLI,,,,,,,,,,,,
123,1523,EMMEALPH,,,,,,,,,,,,
124,1524,GUIOSEMI,0,0,0,0,0,0,0,0,0,0,0,0
125,1528,BRACACER,0,0,0,0,0,0,0,0,0,0,0,0
126,1596,DIOSPENT,0,0,0,0,0,0,0,0,0,0,0,0
127,1598,ARGYTRIF,0,0,0,0,0,0,0,0,0,0,0,0
128,1599,MISCAUST,0,0,0,0,0,0,0,0,0,0,0,0
129,929,ACROPUBE,0,0,0,0,Dead,,,,,,,
130,1573,ARGYTRIF,0,0,0,0,3fbd,0,0,0,0,0,0,0
131,1278,DIOSPENT,0,0,0,0,0,0,0,0,0,0,0,0
132,1801,LITSRETI,,,,,,,,,,,,
133,1183,ORITEXCE,,,,,,,,,,,,
134,1290,ORITEXCE,,,,,,,,,,,,
135,1545,ORITEXCE,,,,,,,,,,,,
