No.,Tag,Namecode,Jan,Feb,Mar,Apr,May,June,Jul,Aug,Sep,Oct,Nov,Dec
42,1067,ARGYTRIF,0,0,0,0,0,0,0,0,0,0,0,0
43,1010,CITRMOOR,0,0,0,0,0,0,0,0,0,0,0,0
44,1033,BRACACER,0,0,0,0,0,0,0,0,0,0,0,0
45,1025,BRACACER,0,0,0,0,0,0,0,0,1fbd,0,0,0
46,1031,SYZYCREB,5imft,4ft,0,0,0,0,0,0,0,0,0,0
47,1057,ACMEINGE,0?,3imft,3imft,3imft,2ft,2ft,1ft,0,0,3fbd,4fl,0
48,1061,LITSRETI,3ft,3ft,0,0,0,0,0,0,0,0,0,0
49,1055.1,DYSORUFU,1imft,1ft,1ft,0,1fb,1imft,1imft,1imft,1ft,1ft,1ft,1ft
50,1071,DORYSASS,2imft,2ft,?,0,0,0,0,0,0,0,0,0
51,1074,BRACACER,0,0,0,0,0,0,0,0,0,0,0,0
52,1075,ANTHNITI,0,0,0,0,0,0,0,0,0,0,0,2imfbd
53,1047,VITELIGN,0,1ft,0,0,2fl,1ft,0,0,0,2ft,1ft,1fl
54,1046,ELATNERV,0,0,0,0,0,0,0,0,0,0,0,0
55,1044,EUPOLAUR,0,0,0,?,1ft,1ft,0,0,0,0,0,0
56,1070,ACROSUBE,0,0,0,0,0,0,0,0,0,0,0,0
57,1079,DYSORUFU,0,0,0,0,0,0,0,0,0,0,1ft,0
58,1103,ORITEXCE,,,,,,,,,,,,
59,1110,SYZYCREB,3imft,3ft,0,0,0,0,0,0,0,0,0,0
60,1116,WILKAUST,0,0,0,0,0,0,0,0,0,0,0,0
61,1115,MISCAUST,0,0,0,0,0,0,0,0,0,0,0,0
62,1220,QUINVERD,0,0,0,0,0,0,0,0,0,3fbd,2fl,0
63,1221,DIPLAUST,0,0,0,0,0,0,0,0,0,0,0,0
64,1217,DIPLAUST,0,0,0,0,0,0,0,0,0,0,0,0
65,1231,ACMEINGE,2imft,2imft,2imft,3imft,3ft,3ft,3ft,3ft,2ft,0,0,0
66,1122,SYZYCREB,2imft,2ft,0,0,0,0,0,0,0,2fbd,2fl,0
67,2278,WILKAUST,0,0,0,0,0,0,0,0,0,0,0,0
68,2281,WILKAUST,0,0,0,0,3ft,3ft,3ft,3ft,2ft,2ft,2ft,1ft
69,1094,ARGYTRIF,0,0,0,0,0,0,0,0,0,0,0,0
70,1086,SARCSTIP,,,,,,,,,,,,
132,1801,LITSRETI,0,0,0,0,0,0,0,0,0,0,0,0
71,1558,ARGYACAC,,,,,,,,,,,,
72,1144,HELIGLAB,0,0,1fl,1fl,1fl,0,0,1fl,0,0,0,0
73,1138,ATRABENT,0,0,0,0,0,0,?1bd,?bds,3fl,0,0,0
74,1133,BALOINOP,2ft,0,0,0,0,0,0,0,2fbd,0,2ft,2ft
75,1164,QUINVERD,0,0,0,0,0,0,0,0,0,3fbd,2fl,0
76,1564,EMMEALPH,1ft,1ft,1ft,1ft,?,1ft,0,0,0,0,0,0
77,1566,ARGYACAC,0,0,0,0,0,0,0,0,0,0,0,0
78,1172,DYSOFRAS,0,0,0,0,0,0,0,0,0,0,0,0
79,1159,VITELIGN,1ft,2fl,2fl,2fl,2fl,0,0,0,0,1,1ft,4fl
80,1160,QUINVERD,0,0,0,0,0,0,0,0,0,0,0,0
81,1176,GUIOSEMI,1ft,0,0,0,0,0,0,0,0,?,0,0
82,1180,EUPOLAUR,0,0,0,0,0,0,0,0,0,0,0,2fbd
83,2393,ACROPUBE,1fb,2fb,2fb,2fb,2fb,2fb,2fb,"2fb,1fl",2fl,0,0,0
84,1205,BRACACER,0,0,0,0,0,0,0,0,0,0,0,0
85,1212,ACMEINGE,0?,v.imm.ft?,3imft,1imft,1ft,0,0,0,1ft,5fbd,"5fl,1ft",1ft
133,1183,ORITEXCE,0,0,0,0,0,0,0,0,0,0,0,0
86,1200,ACROOBLO,0,0,0,0,0,0,0,0,0,0,0,0
87,,ACROOBLO,0,0,0,0,0,0,0,0,0,0,0,0
88,1238,DORYSASS,0,0,0,0,0,0,0,0,0,0,0,0
89,2436,QUINVERD,0,0,0,0,0,0,0,0,0,1fl,0,0
90,1215,EUPOLAUR,0,0,0,0,0,0,0,0,0,1fbd,2fbd,1fbd
91,1192,ACROPUBE,0,3imfb,3imfb,3imfb,3fb,"2fb,1fl","3fb,1fl",2fl,"1fl,1imft",0,0,0
92,1224,ARGYTRIF,0,0,0,0,0,0,0,0,0,0,0,0
93,1226,ARGYTRIF,0,0,0,0,0,0,0,0,0,0,0,0
94,1281,EUPOLAUR,0,0,0,0,0,0,0,0,0,0,0,0
95,1282,ELATNERV,0,0,0,0,0,0,0,0,0,0,0,0
96,1277,ORITEXCE,,,,,,,,,,,,
131,1278,DIOSPENT,,,,,,,,,,,,
97,1279,SARCSTIP,4ft,2ft,0,0,0,0,0,0,0,0,0,0
98,1272,SARCSTIP,0,0,0,0,0,0,0,0,0,0,0,0
130,1573,ARGYTRIF,,,,,,,,,,,,
99,1248,ORITEXCE,0,0,0,0,0,0,0,0,0,0,0,0
100,1252,LITSRETI,0,0,0,0,0,0,0,0,0,0,0,0
101,1255,ORITEXCE,0,0,0,0,0,0,0,0,0,0,0,0
102,1262,BALOINOP,0,0,0,0,0,0,0,0,2fbd,2fls,0,1ft
103,1319,DORYSASS,0,0,0,0,0,0,0,0,0,0,0,0
104,1318,DIOSPENT,0,0,0,0,0,0,0,0,0,0,0,0
105,1313,ATRABENT,0,0,0,0,0,0,0,0,3fl,0,0,0
134,1290,ORITEXCE,0,0,0,0,0,0,0,0,0,0,0,0
106,1343,DYSOFRAS,0,0,1ft,0,0,0,0,0,0,0,0,0
107,1349,DIPLAUST,0,0,0,0,0,0,0,0,0,0,0,0
108,1352,DYSOFRAS,0,0,0,0,0,0,0,0,0,0,0,0
109,1372,SYZYCREB,2imft,2ft,0,0,0,0,0,0,0,0,0,0
110,1406,ARGYACAC,0,0,0,0,0,0,0,0,0,0,0,0
111,1586,VITELIGN,0,0,0,0,1fl,0,0,0,0,1ft,0,1fls
112,1423,ANTHNITI,0,0,0,0,0,0,0,0,0,0,0,0
113,1414,DIOSPENT,0,0,0,0,0,0,0,0,0,0,0,0
114,1412,HALFKEND,0,0,0,0,0,0,0,0,0,0,0,0
115,1488,DORYSASS,0,0,0,0,0,0,,,,,,
116,1467,SARCSTIP,0,0,0,0,0,0,0,0,0,0,0,0
117,1462,DIOSPENT,0,0,0,0,0,0,0,0,0,0,0,0
118,1456,BALOINOP,0,0,0,0,0,0,0,0,"3fbd,1fl",0,0,0
119,1457,VITELIGN,0,0,0,2imft,0,0,0,0,0,1ft,1ft,0
120,1453,DYSOFRAS,0,0,0,0,0,1imfb,1imfb,1fb,1fl,0,0,0
121,1450,ORITEXCE,0,0,0,0,0,0,0,0,0,0,0,0
122,1512,BEILELLI,0,0,0,0,0,0,0,0,0,0,0,0
123,1523,EMMEALPH,2imft,2ft,2ft,1ft,0,0,0,0,0,0,0,0
124,1524,GUIOSEMI,0,0,0,0,0,0,0,0,0,0,0,0
125,1528,BRACACER,0,0,0,0,0,0,0,0,0,0,0,0
126,1596,DIOSPENT,0,0,0,0,0,0,0,0,0,0,0,0
127,1598,ARGYTRIF,0,0,0,0,0,0,0,0,0,0,0,0
128,1599,MISCAUST,0,0,0,0,0,0,0,0,0,0,0,0
