No.,Tag,Namecode,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1,844,ARGYACAC,0,3fbd,4fl,4fl,0,0,0,0,0,0,0,0
2,832,DORYSASS,0,0,0,0,0,2fbd,1fbd,4fl,0,0,0,0
3,879,BALOINOP,2fr,1fr,0,0,0,0,1,0,0,0,3fl,1fl
4,1600,BALOINOP,0,0,0,0,0,0,0,0,0,0,2fl,1fl
5,859,EMMEALPH,,,,,2fr,"2fbd,1fr",3fl,3fl,2fl,2fl,1fl,1fr
6,862,DIPLAUST,0,0,0,0,0,0,0,0,0,0,0,0
7,861,SYZYCREB,0,0,0,0,0,0,0,0,0,0,1fl,0
8,1480,QUINVERD,0,0,0,0,0,0,0,0,0,0,0,0
9,873,SARCSTIP,0,0,0,0,0,0,0,0,0,0,0,0
10,882,VITELIGN,,,,,2fbd,"1fl,1fr",0,1imfr,1fr,2imfr,2imfr,0
11,899,DIPLAUST,3fl,2fr,0,0,0,0,0,0,0,0,0,0
12,1541,SARCSTIP,0,0,0,0,0,0,0,0,0,0,0,0
13,896,HALFKEND,,,,,0,0,0,0,0,0,0,0
14,889,ACROPUBE,1fr,2fbd,2fbd,2fbd,3fbd,2fbd,2fbd,1fbd,1fbd,1fbd,0,0
15,937,ATRABENT,0,0,0,0,0,0,0,2fbd,4fl,1fl,0,0
16,1544,ACROPUBE,0,2fbd,2fbd,2fbd,2fbd,"1fbd,1fl",1fl,0,1fr,0,1fbd,1fl
17,931,ARGYACAC,0,5fbd,5fl,5fl,0,0,0,0,0,0,0,0
18,942,ANTHNITI,,,,,,,,,,,,
19,921,ACROPUBE,0,0,2fbd,2fbd,"2fb,1fl",2fb,2fb,2fb,2fb,2fb,0,0
20,920,ATRABENT,0,0,0,0,0,0,0,3fbd,5fl,0,0,0
21,1431,DIOSPENT,0,0,0,0,0,0,0,0,0,0,0,0
22,918,ATRABENT,0,0,0,0,0,0,0,2fbd,3fl,0,0,0
23,2061,WILKHUEG,0,0,0,0,0,0,0,0,0,0,0,0
24,2138,WILKAUST,0,0,0,0,0,0,0,0,0,0,0,0
25,2091,WILKHUEG,0,0,0,0,0,0,0,0,0,0,0,0
26,955,MISCAUST,0,0,0,0,0,0,0,0,0,0,0,0
27,2099,WILKHUEG,0,0,0,0,0,0,0,0,0,0,0,0
28,958,HELIGLAB,,,,,,,,,0,0,1fr,0
29,959,MISCAUST,0,0,0,0,0,0,0,0,0,0,0,0
30,961,ELATNERV,0,0,0,0,0,0,0,0,0,0,0,0
31,2182,WILKHUEG,0,0,0,0,0,0,0,0,0,0,0,0
32,2178,WILKHUEG,0,0,0,0,0,0,0,0,0,0,0,0
33,2175,WILKAUST,0,0,0,0,0,0,0,0,0,0,0,0
34,972,ELATNERV,0,0,0,0,0,0,0,0,0,0,0,0
35,1546,ARGYACAC,0,5fbd,5fl,5fl,0,0,0,0,0,0,0,0
36,962,EMMEALPH,,,,,2fr,1fr,1fr,1fr,"1fr,1fl",1fl,0,0
37,1020,ACMEINGE,0,0,0,0,0,0,0,0,0,0,0,0
