No.,Tag,Namecode,Tree,Jan,Feb,Mar,Apr,May,June
100,,ACROOBLO,2,0,0,0,0,0,0
101,1238,DORYSASS,3,0,0,0,0,0,0
102,2436,QUINVERD,4,2ft,2ft,0,0,0,0
103,1215,EUPOLAUR,4,3imft,2imft,2imft,2ft,2ft,0
104,1191,HELIGLAB,,5fb/fl,"5fl,fb",4fl,2fl,1fl,1fl
105,1192,ACROPUBE,5,,,,,,
106,1224,ARGYTRIF,6,0,0,0,3imfb,"4fb,2fl","3fl,2fb"
107,1226,ARGYTRIF,3,0,0,0,3imfb,"4fb,2fl","2fl,1fb"
108,1281,EUPOLAUR,5,0,0,0,0,0,0
109,1282,ELATNERV,5,0,0,0,0,0,0
110,1279,SARCSTIP,4,0,0,0,0,0,0
111,1272,SARCSTIP,5,2ft,0,0,0,0,0
112,1248,ORITEXCE,3,0,0,0,0,0,0
113,1252,LITSRETI,2,0,0,0,0,0,0
114,1255,ORITEXCE,4,0,0,0,0,0,0
115,1262,BALOINOP,4,0,0,0,0,0,0
116,1319,DORYSASS,4,0,0,0,0,0,0
117,1318,DIOSPENT,2,1fl,0,0,0,0,0
118,1313,ATRABENT,5,0,0,0,0,0,0?
,,ATRABENT,,2imft,2imft,2imft,2ft,1ft,2imfb?
119,1287,POLYCUNN,,3imft,2imft,2ft,2ft,0,0
120,,CUPAFLAG,,"3fl,imft",2fl/imft?,2fl/imft?,0,0,0
121,1290,ORITEXCE,,0,0,0,0,0,0
122,5221.1,GUILMONO,,2bare infl,0,0?,0?,1ft,0
123,1340.1,GUILMONO,,"2ft,bare infl",2bare infl,0,0,0,0
124,1343,DYSOFRAS,3,0,1ft,0,0,1ft,0?
125,1349,DIPLAUST,5,0,0,0,0,0,0
126,,AKANBIDW,,0,0,0,0,0,0
127,988,DORYSASS,,0,0,0,0,0,0
128,1352,DYSOFRAS,4,0,1ft,0,0,0,0
129,1353,KARABENT,,5ft,5ft,5ft,5ft,5ft,5ft
130,1390.1,PHALCHER,,0,1ft,0,0,0,0
131,958.1,ACROPUBE,,5imfb,4imfb,4imfb,"2fb,1fl",1fl,1fl
132,1372,SYZYCREB,5,0,0,0,0,0,0
133,15199,DYSORUFU,3,0,0,0,0,0,0
134,1406,ARGYACAC,5,0,0,0,0,0,0
135,1586,VITELIGN,4,0,0,0,1fl,1imft,0
136,1423,ANTHNITI,3,0,0,0,0,0,0
137,1414,DIOSPENT,3,2fl,0,0,0,0,0
138,1412,HALFKEND,2,5imfb?,"5fl,fb",1fl (spent),2imft,2imft,1imft
139,1485.1,CUPAFLAG,,"3fl,imft",2imft,2imft,0,0,0
140,1467,SARCSTIP,6,0,0,0,0,0,0
141,1462,DIOSPENT,4,3fl,0,0,0,0,0
142,1456,BALOINOP,5,0,0,0,0,0,0
143,1457,VITELIGN,5,0,0,0,0,1fl,0
144,1453,DYSOFRAS,5,0,0,0,0,0,0
145,1450,ORITEXCE,5,0,0,0,0,0,0
146,1513,ACROSUBE,2,"4fb,fl",3imft,4imft/ft,4ft,2ft,0
147,1512,BEILELLI,1,0,0,0,0,0?,0
148,1523,EMMEALPH,4,5ft,5ft,5ft,3ft,2ft,2ft
149,2741,ATRABENT,,2imft ,2imft ,2imft,3ft,1ft,1imfb?
150,1524,GUIOSEMI,2,0,0,0,0,0,0
151,1528,BRACACER,5,0,0,0,0,0,0
152,1596,DIOSPENT,5,0,0,0,0,0,0
153,1598,ARGYTRIF,5,0,0,0,0,0,0
154,1599,MISCAUST,4,0,0,0,0,0,0
155,,SARCSTIP,,0,0,0,0,0,0
156,,MELIMICR,,4fl,5imft,2ft,2ft,1ft,0
