No.,Tag,Namecode,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1,844,ARGYACAC,1fb,1fl,2fl,1imft,0,1ft,1ft,1ft,1ft,0,0,0
2,832,DORYSASS,0,0,0,1fb?,1fb?,1fb?,0,0,0,0,0,0
3,879,BALOINOP,0,0,0,0,0,0,0,0,2fb,2fb,1fb,0
4,1600,BALOINOP,0,0,0,0,0,0,0,0,0,0,0,0
5,859,EMMEALPH,0,2fb,3fb,3fb,3fb,5fb,5fb,5fb,4fl,5imft,5imfr,4gfr
6,862,DIPLAUST,0,0,0,0,0,0,0,2fb,4fb,4fl,3fr,0
7,861,SYZYCREB,2ft,0,0,0,0,0,0,0,0,0,0,0
8,1480,QUINVERD,0,0,0,0,0,0,0,2fb,5fb,4fl,0,3fr
9,873,SARCSTIP,0,0,0,0,0,0,2imfb,2fb,3fl,3fl,2imfr,2fr
10,882,VITELIGN,1imft,0,"2fl,1imft","2fl,1imft","2fl,1imft","1fl,2imft",2imft,2imft,2ft,2imft,2imfr,2fr
11,899,DIPLAUST,0,0,0,0,0,0,0,0,0,0,0,0
12,1541,SARCSTIP,0,0,0,0,0,0,0,1fb,"2fb,1fl",2fl,2imfr,2fr
13,896,HALFKEND,0,0,0,0,0,0,0,0,0,0,0,0
14,889,ACROPUBE,0,0,,,,,,,,,,
15,937,ATRABENT,0,0,0,0,0,0,0,4fl,0,0,0,0
16,1544,ACROPUBE,0,0,0,1fb,0,0,0,0,0,0,2fr,2fr
17,931,ARGYACAC,1fb,1fl,1fl,"1fl,1imft",1imft,1imft,0,1fr,0,0,0,0
18,942,ANTHNITI,0,"3fb,1fl","3fb,1fl",0,0,1imft,1imfb?,1imft,1imfb?,3fb,2fb,2imfr
19,921,ACROPUBE,0,0,0,0,0,0,1imfb,0,0,0,0,tfb
20,920,ATRABENT,0,0,0,0,0,0,0,5fl ,0,0,0,0
21,1431,DIOSPENT,0,0,0,0,0,0,0,0,0,0,3fb,4fl
22,918,ATRABENT,0,0,0,0,0,0,0,3fl ,1fl,0,0,0
23,2061,WILKHUEG,0,0,0,3imfb,3fb,4fb,4fb,4fb ,"2fb,2fl","2fb,2fl",2imfr,2imfr
24,2138,WILKAUST,0,0,0,1imfb,1imfb,1fb,2fb,3fb1fl,"2fb,2fl",2fl,3imfr,3imfr
25,2091,WILKHUEG,0,0,0,5imfb,5imfb,5fb,5fb,5fb,"2fb,2fl","1fb,2fl",1imfr,1imfr
26,955,MISCAUST,0,0,0,0,0,0,0,0,0,"1fb,1fl",2fl,4fl
27,2099,WILKHUEG,0,0,0,4imfb,4fb,4fb,4fb,4fb ,"1fb,3fl",2fl,3imfr,3gfr
28,958,HELIGLAB,0,"1fl,1ft","1fl,1ft",3fl,3fl,"1fl,1imft",1fl,1fl ,0,1ft,tfr,tfr
29,959,MISCAUST,0,0,0,0,0,0,0,0,0,2fb,2fl,3fl
30,961,ELATNERV,0,0,0,0,0,0,0,0,0,0,0,0
31,2182,WILKHUEG,0,0,0,1imfb,1imfb,2fb,2fb,3fb,"2fb,2fl",2fl,2imfr,3gfr
32,2178,WILKHUEG,0,0,0,2fb,"2imfb,2fb","2imfb,2fb",3fb,3fb,3fl,3fl,2imfr,3gfr
33,2175,WILKAUST,0,0,0,2imfb,4fb,4fb,5fb,5fb,5fb,5fl,0,0
34,972,ELATNERV,0,0,0,0,0,0,0,0,0,0,0,0
35,1546,ARGYACAC,1fb,2fl,2fl,1fl,1imft,1imft,0,1ft ,0,0,0,0
135,1545,ORITEXCE,,,,,,,,,,,,
36,962,EMMEALPH,0,0,0,0,3fb,3fb,4fb,3fb2fl,4fl,"1fl,3imft",3gfr,3gfr
37,1020,ACMEINGE,0,1ft,1ft,2imft,2imft,2imft,2ft,0,0,0,0,0
38,1018,DYSOFRAS,0,"2fb,1ft","2fb,2ft","2fb,2ft","2fb,1ft",1ft,0,0,0,0,0,0
39,1019,EUPOLAUR,0,0,0,0,0,0,0,0,0,3fb,3flb,4fl
40,1548,ACMEINGE,0,0,0,0,0,0,0,0,0,0,0,0
41,1550,ELATNERV,0,0,0,0,0,0,0,0,0,0,0,0
42,1067,ARGYTRIF,0,0,0,0,0,0,0,0,0,0,0,0
43,1010,CITRMOOR,0,0,0,0,0,0,0,0,0,0,0,0
44,1033,BRACACER,0,0,0,0,0,0,0,0,0,0,0,0
45,1025,BRACACER,0,0,0,0,0,0,0,0,0,0,0,0
46,1031,SYZYCREB,5ft,1ft,0,0,0,0,0,0,0,0,0,0
47,1057,ACMEINGE,0,0,0,0,0,0,0,0,0,0,0,0
48,1061,LITSRETI,3gft,1ft,0,0,0,0,0,0,0,3gft,3gfr,3gfr
49,1055.1,DYSORUFU,1ft,1ft,"3fb,1fl","1fb,2fl,2ft",1ft,1ft,1ft,2imft,2imft,2ft,2fr,2fr1fb
50,1071,DORYSASS,0,0,0,0,(1fb?),(?),1fl,0,0,0,0,0
51,1074,BRACACER,0,2ft,2ft,2ft,2ft,0,0,0,0,0,0,0
52,1075,ANTHNITI,1fb,"3fb,1fl",3fl,0,0,0,0,0,0,0,0,0
53,1047,VITELIGN,0,0,2fl,3fl,3fl,2fl,1imft,0,2imft,1imft,2fr,2fr
54,1046,ELATNERV,0,0,0,0,0,0,0,0,0,0,0,0
55,1044,EUPOLAUR,0,0,0,0,0,0,0,0,0,3fb,4fb,4fl
56,1070,ACROSUBE,0,0,0,0,0,0,0,0,0,0,0,0
57,1079,DYSORUFU,1ft,0,0,0,0,0,0,0,0,1ft,0,0
58,1103,ORITEXCE,0,0,0,0,3imfb,3fb,2fb(?),3fl ,0,0,0,0
59,1110,SYZYCREB,5ft,1ft,0,0,0,0,0,0,0,0,0,0
60,1116,WILKAUST,0,0,0,1fb,"1imfb,1fb","3imfb,1fb",3fb,4fb ,3fb,3imft,2imfr,0
61,1115,MISCAUST,0,0,0,0,0,0,0,0,0,2imfb,2fb,2fl
62,1220,QUINVERD,0,0,0,0,0,0,0,0,2fb,3fb,0,0
63,1221,DIPLAUST,0,0,0,0,0,0,0,3fb,5fl,4imft,2fr,0
64,1217,DIPLAUST,0,0,0,0,0,0,0,0,3imfb,5fl,3fr,0
65,1231,ACMEINGE,0,0,0,0,0,0,0,0,0,0,0,0
66,1122,SYZYCREB,5ft,0,0,0,0,0,0,0,0,0,0,0
67,2278,WILKAUST,0,0,0,2fb,3fb,3fb,3fb,4fb ,3fb,4fl,0,0
68,2281,WILKAUST,0,0,0,2fb,2fb,2fb,2fb,4fb ,1fb,0,2fl,0
69,1094,ARGYTRIF,0,0,0,0,0,0,0,0,0,0,0,0
70,1086,SARCSTIP,0,0,0,0,0,0,0,0,0,0,0,0
132,1801,LITSRETI,,,,,,,,,,,,
71,1558,ARGYACAC,1fb,3fl,3fl,3imft,3ft,3ft,3ft,2ft,2ft,1ft,0,0
72,1144,HELIGLAB,2fl,"1fl,1ft",2fl,1fl,1fl,0,0,1fl ,0,0,0,0
73,1138,ATRABENT,0,0,0,0,0,0,0,5fl ,0,0,0,0
74,1133,BALOINOP,0,0,1fl,1ft,1ft,1ft,0,0,1ft,0,0,0
75,1164,QUINVERD,0,0,0,0,0,0,0,0,3fb,4fl,0,4fr
76,1564,EMMEALPH,1ft,1ft,3fb,4fb,4fb,5fb,5fb,5fb,5fl,5imft,5fr,5fr
77,1566,ARGYACAC,1fb,1fl,"1fb,1fl",0,1imft,1ft,1ft,0,0,0,0,0
78,1172,DYSOFRAS,0,1fb,2fb,2fb,2fl,2fl,0,0,0,0,0,0
79,1159,VITELIGN,0,4fl,"2fl,2imft","2fl,2imft","2fl,2imft",2imft,3imft,1imft,2imft,2imft,2fr,1fr
80,1160,QUINVERD,0,0,0,0,0,0,0,0,2fb,2fl,0,2fr
81,1176,GUIOSEMI,1ft,0,0,0,0,0,0,0,2imfb,2fl,0,0
82,1180,EUPOLAUR,0,0,0,0,0,0,0,0,0,0,0,0
83,2393,ACROPUBE,3fb,3fb,3fb,3fb,3fb,"2fb,1fl",2fl,3fl ,1imft,1imft,2fb,3fb
84,1205,BRACACER,0,0,0,0,0,0,0,0,0,0,0,0
85,1212,ACMEINGE,0,0,1imft,0,0,0,0,0,0,0,0,1fb
133,1183,ORITEXCE,,,,,,,,,,,,
86,1200,ACROOBLO,0,0,"4fb,1fl","3fb,1fl","3fb,1fl",4imft,4imft,4ft,"1ft,1imft",2ft,0,0
87,,ACROOBLO,0,0,4fb,"3fb,1fl","3fb,1fl",3imft,3imft,3ft,1imft,1ft,0,0
88,1238,DORYSASS,0,0,0,0,1fb,1fb,0,0,0,0,0,0
89,2436,QUINVERD,0,0,0,0,0,0,0,3fb,3fb,3fl,0,0
90,1215,EUPOLAUR,0,0,0,0,0,1fb,0,0,3fb,4fb,4fb,4fb
91,1192,ACROPUBE,2fb,2fb,2fb,"2fb,1fl","2fb,1fl",3fl,3fl,4fl,1fl,1imft,1fr,1fr
