No.,Tag,Namecode,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
92,1224,ARGYTRIF,0,0,0,0,0,0,0,0,0,0,0,0
93,1226,ARGYTRIF,0,0,0,0,0,0,0,0,0,0,0,0
94,1281,EUPOLAUR,0,0,0,0,0,0,0,0,0,1fb,tfb,tfb
95,1282,ELATNERV,0,0,0,0,0,0,0,0,0,0,0,0
96,1277,ORITEXCE,0,0,0,0,2imfb,3fb,??,2fl,0,0,0,0
131,1278,DIOSPENT,0,0,deleted,,,,,,,,,
97,1279,SARCSTIP,0,0,0,0,0,0,4fb,3fl,4fls,1imft,3fr,4fr
98,1272,SARCSTIP,0,0,0,0,0,0,2fb,2fl,3fls,3imft,3fr,3fr
130,1573,ARGYTRIF,0,0,deleted,,,,,,,,,
99,1248,ORITEXCE,0,0,0,0,3imfb,2fb,2fl,2fl,0,0,0,0
100,1252,LITSRETI,0,,0,0,0,0,0,0,0,0,0,0
101,1255,ORITEXCE,0,0,0,0,(0?),0?,0,0,0,0,0,0
102,1262,BALOINOP,0,1ft,1ft,0,0,0,0,0,0,0,0,0
103,1319,DORYSASS,0,0,0,0,0,0,0,0,0,0,0,0
104,1318,DIOSPENT,0,0,0,0,0,0,0,0,0,5imfb,3fb,3fl
105,1313,ATRABENT,0,0,0,0,0,0,0,0,0,0,0,0
134,1290,ORITEXCE,,,,,,,,,,,,
106,1343,DYSOFRAS,1fb,2fb,"2fb,1ft","2fb,1ft","1fl,1ft",1ft,"1ft,2fb",1fb,1imft,3imft,3imfr,3gfr
107,1349,DIPLAUST,0,0,0,0,0,0,0,1fb,4imfb,4fl,2fr,0
108,1352,DYSOFRAS,1fb,2fb,2fb,1ft,1ft,"1imft,1ft",1ft,0?,0,1imft,2imfr,2gfr
109,1372,SYZYCREB,5ft,0,0,0,0,0,0,0,0,0,0,0
110,1406,ARGYACAC,3fb,2fl,"2fl,2imft",2imft,2imft,2ft,2ft,1ft,1ft,1ft,0,0
111,1586,VITELIGN,0,"3fb,1fl","2fb,1fl","1fb,1fl,1imft","1fb,1fl,1imft","1fl,1imft",2imft,2imft,1imft,2imft,2fr,3fr
112,1423,ANTHNITI,0,"2fb,1fl","1fb,1fl",0,0,0,0,0,0,0,0,0
113,1414,DIOSPENT,0,0,0,0,0,0,0,0,0,0,3fb,3fl
114,1412,HALFKEND,0,0,0,0,0,0?,0,0,0,0,3flbd,3flbd
115,1488,DORYSASS,0,0,0,0,0,0,0,0,0,0,0,0
116,1467,SARCSTIP,0,0,0,0,0,0,0,0,0,0,0,0
117,1462,DIOSPENT,0,0,0,0,0,0,0,0,0,5imfb,4fb,5fl
118,1456,BALOINOP,0,0,0,0,0,0,0,0,0,?,0,0
119,1457,VITELIGN,0,1fb,"2fb,1fl","1fb,1fl,1imft","2fl,1imft",3imft,3imft,3imft,2imft,3imft,3fr,2fr
120,1453,DYSOFRAS,1fb,3fb,3fb,3fb,3fl,5fl,3fl,2fl,0,0,0,0
121,1450,ORITEXCE,0,0,0,0,1imfb,1fb,0,2fl,0,0,0,0
122,1512,BEILELLI,0,0,0,0,0,0,0,2imfb,4imfb,3fl,0,0
123,1523,EMMEALPH,,,,,,4fb,4fb,4fb,4fl,4imft,3imfr,3gfr
124,1524,GUIOSEMI,0,0,0,0,0,0,0,0,2fb,2fl,1fl,0
125,1528,BRACACER,0,0,0,0,0,0,0,0,0,0,0,0
126,1596,DIOSPENT,0,0,0,0,0,0,0,0,0,0,3fb,3fl
127,1598,ARGYTRIF,0,0,0,0,0,0,0,0,0,0,0,0
128,1599,MISCAUST,0,0,0,0,0,0,0,0,0,0,2fb,0
