No.,Tag,Namecode,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
32,2178,WILKHUEG,0,0,0,0,0,0,0,0,0,0,0,0
33,2175,WILKAUST,0,0,0,0,0,0,1fb,1fb,0,1fl,0,0
34,972,ELATNERV,0,0,0,0,0,0,0,0,0,0,0,0
35,1546,ARGYACAC,0,0,0,0,0,0,0,0,0,0,0,0
135,1545,ORITEXCE,,,,,,,,,0,0,0,0
36,962,EMMEALPH,0,0,0,0,0,0,0,0,0,0,1ft,0
37,1020,ACMEINGE,0,1ft,1ft,1ft,2ft,3ft,3ft,1ft,2ft,1ft,"1fb,1ft",1ft
38,1018,DYSOFRAS,0,0,0,0,1fb,0,0,0,0,0,0,0
39,1019,EUPOLAUR,0,0,0,0,0,0,0,0,0,0,0,1fb
40,1548,ACMEINGE,0,0,0,0,0,0,0,0,0,0,0,0
41,1550,ELATNERV,0,0,0,0,0,0,0,0,0,0,0,0
42,1067,ARGYTRIF,0,0,1fl?,0,0,0,0,0,0,0,0,0
43,1010,CITRMOOR,0,0,0,0,0,0,0,0,0,0,0,0
44,1033,BRACACER,0,0,0,0,0,0,0,0,0,0,0,0
45,1025,BRACACER,0,0,0,0,0,0,0,0,0,0,0,0
46,1031,SYZYCREB,3ft,1ft,0,0,0,0,0,0,0,1fb,0,0
47,1057,ACMEINGE,0,0,0,0,0,0,1ft,0,0,0,2fb,3fb
48,1061,LITSRETI,0,0,0,0,0,0,0,0,0,0,0,0
49,1055.1,DYSORUFU,1fb,0,0,0,0,1imft,1imft,1imft,1imft,1imft,1ft,"1fb,1ft"
50,1071,DORYSASS,0,0,0,0,0,0,0,0,0,0,0,0
51,1074,BRACACER,0,0,0,0,0,0,0,0,0,0,0,0
52,1075,ANTHNITI,3fl,1fl,0,0,0,0,0,0,0,0,0,0
53,1047,VITELIGN,0,1fl,2fl,1fl,1fl,"1fl,1ft",0,1ft,1ft,3imft,2ft,1ft
54,1046,ELATNERV,0,0,0,0,0,0,0,0,0,0,0,0
55,1044,EUPOLAUR,0,0,0,0,0,0,0,0,0,0,0,1fl
56,1070,ACROSUBE,0,0,0,0,0,0,0,0,0,0,0,0
57,1079,DYSORUFU,2fl,0,0,0,1imft,1ft,0,0,2ft,1ft,1ft,1ft
58,1103,ORITEXCE,0,0,0,0,0,0,0,0,dead,,,
59,1110,SYZYCREB,2ft,1ft,0,0,0,0,0,0,0,0,0,0
60,1116,WILKAUST,0,0,0,0,0,0,0,0,0,0,0,0
61,1115,MISCAUST,0,0,0,0,0,0,0,0,0,0,0,0
62,1220,QUINVERD,3ft,3ft,0,0,0,0,0,0,4fb,5fl,1fl,imft
63,1221,DIPLAUST,0,0,0,0,0,0,0,0,3imfb,4imft,2ft,0
64,1217,DIPLAUST,0,0,0,0,0,0,0,0,0,0,0,0
65,1231,ACMEINGE,0,0,0,0,0,0,0,0,0,0,0,0
66,1122,SYZYCREB,1ft,1ft,0,0,0,0,0,0,0,0,0,0
67,2278,WILKAUST,0,0,0,0,0,0,0,0,0,0,0,0
68,2281,WILKAUST,0,0,0,0,0,0,0,0,0,0,0,0
69,1094,ARGYTRIF,0,0,0,0,0,0,0,0,0,0,0,0
70,1086,SARCSTIP,0,0,0,0,0,0,0,0,0,0,0,0
132,1801,LITSRETI,,,,,,,,,,,,
71,1558,ARGYACAC,0,0,0,0,0,0,0,0,dead,,,
72,1144,HELIGLAB,2fl,1fl,0,0,0,0,1fl,0,0,0,0,0
73,1138,ATRABENT,0,0,0,0,0,2fb,2fb,0,0,0,0,0
74,1133,BALOINOP,1ft,1ft,1ft,0,0,0,0,0,0,0,0,0
75,1164,QUINVERD,3ft,3ft,0,0,0,0,0,0,3fb,4fl,1fl,imft
76,1564,EMMEALPH,0,0,0,0,0,1fb,1fb,0,2fl,1fl,1imft,0
77,1566,ARGYACAC,0,0,0,0,0,0,0,0,0,0,0,0
