No.,Tag,Namecode,Jan,Feb,Mar,Apr,May,June,July,Aug,Sept,Oct,Nov,Dec
72,1144,HELIGLAB,2fbd,0,0,0,2fl,"1fb,2fl",1fl,0,0,0,0,0
73,1138,ATRABENT,0,0,0,0,0,1bds,1fb,1fl,0,0,0,0
74,1133,BALOINOP,0,0,0,0,0,0,0,0,0,0,0,0
75,1164,QUINVERD,1ft,1ft,0,0,0,0,0,0,?1fbs,0,0,0
76,1564,EMMEALPH,3ft,4ft,2ft,2ft,"2ft,3imfb","2ft,3imfb","2ft,3imfb","2fb,2fl,2ft","4fl,2ft",4ft,4ft,4ft
77,1566,ARGYACAC,0,0,0,0,0,0,0,0,0,0,0,0
78,1172,DYSOFRAS,0,0,0,0,0,0,0,0,0,0,0,0
79,1159,VITELIGN,0,3fl,3fl,2fl,2fl,1ft,0,0,1ft,0,1ft,0
80,1160,QUINVERD,1ft,1ft,0,0,0,0,0,0,0,0,0,0
81,1176,GUIOSEMI,0,0,0,0,0,0,0,2imfb,5fl,"4fls, 1imft",2imft,2ft
82,1180,EUPOLAUR,0,0,0,0,0,0,0,0,0,0,0,0
83,2393,ACROPUBE,3fbd,3fb,3fb,3fb,"1fb,2fl",2fl,"2fl,1imft",1imft,0,0,1fb,2fb
84,1205,BRACACER,0,0,0,0,0,0,0,0,"1fb,1fl","2fb,1fl",2fl,0
85,1212,ACMEINGE,?1fls,0,0,0,1ft,1ft,0,1ft,"5fb,1ft","1fb,4fl,1ft","4fl,1ft",0
,1183,ORITEXCE,0,0,0,0,2fb?,2fb?,3fb,3fl,0,0,4imft,4imft
86,1200,ACROOBLO,0,0,0,0,0,0,0,0,0,0,0,0
87,,ACROOBLO,0,0,0,0,0,0,0,0,0,0,0,0
88,1238,DORYSASS,0,0,0,0,0,0,0,0,0,0,0,0
89,2436,QUINVERD,3ft,3ft,0,0,0,0,0,0,0,0,0,0
90,1215,EUPOLAUR,0,0,0,0,0,0,0,0,0,0,0,0
91,1192,ACROPUBE,2fbd,2fb,3fb,2fl,2fl,2fl,0,2fl,1fl,1fl,2ft,"1fb,1ft"
92,1224,ARGYTRIF,0,1imfb,4fb,"3fb,1fl","2fb,3fl",2imft,2imft,2imft,1ft,1ft,1ft,0
93,1226,ARGYTRIF,0,3imfb,4fb,"3fb,1fl","2fb,3fl",2imft,2imft,2imft,2ft,2ft,1ft,0
94,1281,EUPOLAUR,0,0,0,0,0,0,0,0,0,0,0,0
95,1282,ELATNERV,0,0,0,0,0,0,0,0,0,0,0,0
96,1277,ORITEXCE,,,,,,,,,,,,
,1278,DIOSPENT,,,,,,,,,,,,
97,1279,SARCSTIP,0,0,0,0,0,0,0,0,"4fbs,fls","5fl,1imft",4ft,3ft
98,1272,SARCSTIP,0,0,0,0,0,0,0,0,"2fbs,fls",2fls,0,0
,1573,ARGYTRIF,,,,,,,,,,,,
99,1248,ORITEXCE,0,0,0,0,1fb?,1fb?,4fb,4fl,0,0,3imft,3imft
100,1252,LITSRETI,0,0,0,0,0,0,0,0,0,0,0,0
101,1255,ORITEXCE,0,0,0,0,1fl?,??,3fb,3fl,0,2ft,2imft,2imft
102,1262,BALOINOP,0,0,0,0,0,0,0,0,0,0,0,0
103,1319,DORYSASS,0,0,0,0,0,0,0,0,0,0,0,0
104,1318,DIOSPENT,0,0,0,0,0,0,0,0,0,0,0,0
105,1313,ATRABENT,0,0,0,0,0,2fb?,2fb,2fl,0,0,0,0
,1290,ORITEXCE,0,0,0,0,1fb?,1fb?,3fb,3fl,0,0,imft??,imft??
106,1343,DYSOFRAS,1ft,0,"4imfb,1ft","4imfb,1ft",3imfb,3imfb,3imfb,3fb,1imft,0,0,2ft
107,1349,DIPLAUST,0,0,0,0,0,0,0,0,0,2imfb?,0,0
108,1352,DYSOFRAS,1fbd,"1fbd,1fl","1fb,1ft","1fb,1ft","1fb,1ft",1fb,1fb,1fb,1imft,0,0,1ft
109,1372,SYZYCREB,0,0,0,0,0,0,0,0,0,0,0,0
,15199,DYSORUFU,,,,,,,,,,,,2imfb
110,1406,ARGYACAC,0,0,0,0,0,0,0,0,0,0,0,0
111,1586,VITELIGN,0,0,0,0,0,0,0,1ft,1ft,0,1ft,0
112,1423,ANTHNITI,0,0,0,0,0,0,0,0,0,0,0,0
113,1414,DIOSPENT,1fl,0,0,0,0,0,0,0,0,0,0,0
114,1412,HALFKEND,3fb,4fls,4imft,3imft,3imft,3imft,2ft,2ft,2ft,3ft,2ft,0
115,1488,DORYSASS,,,,,,,,,,,,fallen
116,1467,SARCSTIP,0,0,0,0,0,0,0,0,"2fb,fl",0,0,0
117,1462,DIOSPENT,3fl,0,0,0,0,0,0,0,0,0,0,0
118,1456,BALOINOP,0,0,0,0,0,0,0,0,2fb,0,0,0
